ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month,Text
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,Angleterre: Manchester City freiné par Wolverhampton 1-1
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,"Trainee teachers share aspirations, apprehensions"
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,Computer Case Market by Type - 2025 - MarketResearchNest.com
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,Kiwi golfer Lydia Ko suffers second-round slide at LPGA's Canadian Open - Stuff.co.nz
28,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,Russia Plans Biggest War Games Since Soviet Era
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,"Super 25 football schedule, August 24-26"
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,New St Johnstone signing looking forward to locking horns with hero Steven Gerrard's Rangers
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,Instructor tries to quarantine gun owners in back of class
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,Is consumer confidence up or down? Probably a bit of both
33,100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,Taiwan's retail sales hit highest July level
34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,Ukraine has made progress in efforts to join NATO: Trump adviser
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,Nationwide recall issued for batch of bubble gum flavored Children's Advil due to potential overdose concerns
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,"ProEquities Raises $26,000 for Local Non-Profit to Feed Underprivileged School Children in Bermuda During Advisor ..."
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,Home Bargains asks for 24-hour alcohol licence for new Sunderland shop
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,Political thriller Bodyguard is most-watched new drama launch of 2018 so far
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,Ninth 'Banana Fish' Anime Episode Previewed
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,Black Moms Run a Higher Risk of Death During Labor. Kamala Harris Just Introduced a Bill to Change That.
41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,How bacon is boosting this town's economy
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,Former Presidents Barack Obama & Bill Clinton Remember Senator John McCain
43,10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,Stocks - Apple Hits All-Time High
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,Universal Medical & Technical Advisory Services: Nicht vergessen!
45,40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,BMRCL plans to buy land near Bhadra Tiger Reserve
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,Depression and anxiety in middle age can increase risk of heart disease and str...
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,(LEAD) Tokyo renews claim to Dokdo in 2018 defense white paper
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,Romanian president blasts gov't for mismanaging swine fever
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,"Moura's Brace, Kane's Header Devastating As Rampant Spurs Destroy United At Old Trafford"
50,20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,"Tata Motors rolls out 1,500th Safari Storme for Indian Armed Forces"
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,Additional 3.5 million KM for the border crossing at Bratunac - Ljubovija Bridge
52,100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,Redbirds' Stubby Clapp wins 2nd straight Manager of the Year
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,Comment on Berkeley brainstorms new locations for its emergency shelter by neuroticat
54,180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,The Latest: Hawaii hurricane downgraded to tropical storm
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,Pkw crasht in Motorradfahrer - Biker tot
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,Sudbury man admits he lost control of emotions
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,Injury crash forces closure of northwest Las Vegas intersection
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,Remembrances Across the Nation: The Schedule of Tributes to John McCain
59,200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,Travelflex Achieves Market Capitalization of $1.55 Million (TRF)
60,400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,Carjacking suspect shot by police in St. Louis
61,500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,Key Professional Analysts at Baird Kept the Same their '&#8221
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,DeChambeau sails to victory in FedEx Cup playoff opener
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,Ex-Texas Cop Guilty of Murder for Killing Unarmed Black Teen
64,50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,Emirates to fly 175 tonnes of relief material for flood ravaged Kerala
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,"Plating Equipment Market Segmentation And Analysis By Recent Trends, Development Trends And Growth Rate By Regions To 2023"
66,200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,Festival embracing creative arts to be set against backdrop of 18th century walled garden
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,Wells Fargo & Company (WFC) to strike $62.02 in short term period
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,"FBI agent says bureau leaked stories, then used them to get FISA warrants (Brooke Singman/Fox News)"
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,Capitals player taking Stanley Cup to Humboldt
70,20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,Man goes bananas over fine for dropping monkey nut shells
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,The Solution To Oversized Dev Boards: A Literal Hack
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,7 fun things to do on P.E.I. this weekend
73,200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,ISU presents An Evening with Three Dog Night Sept. 12 at Stephens Performing Arts Center
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,"Read Cracking The Gre Psychology Subject Test, 8Th Edition (Princeton Review: Cracking the GRE Psychology) - Princeton Review [PDF Free Download]"
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,"The iPhone App Store is 10, and its imitators are (mostly) toast"
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,Oil costs flat on mild buying and selling and OPEC ready
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,New: Gracie Barra Warrington (Healthcare & Fitness)
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,Arizona Sen. John McCain saved the best for last
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,"US Open: Roger Federer, Novak Djokovic Headline Day Two at Flushing Meadows"
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,18 motorcycle deaths in B.C. last month prompt safety reminder
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,Cyberpunk 2077: Everything we learned from the new gameplay demo - CNET
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,Lady Gaga Posts Fully Nude Pics From Odd Photoshoot On Instagram
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,Optimism in Canadian auto sector despite tariff threats
84,400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,Lancashire police horse decides it's time to put his hooves up
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,Shelf:2D graphics software
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,TOKUNBO EDUN still raising the bar
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,"China's Newest Aircraft Carrier, 'Type 001A,' Reportedly Begins Sea Trials"
88,160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,"Global Function-As-A-Service Market Overview, Cost Structure Analysis, Market Research, Share Analysis and Trends, In depth study, and Key Players- Google Inc., International Business Machines Corporation, New York, Amazon Web Services Inc."
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,Where Does A Change In Civility Start? With Yourself.
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,Sims cops fans seeing red at Dragons - SBS
91,200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,Video: First flights lands at Kochi airport as it reopens
92,280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,Synology DiskStation Manager 6.2
93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,Betsy DeVos&apos
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,Avg. Price Target Review: Melrose Bancorp (MELR) to Hit $22 in short term period
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,Global Legal Marijuana Growth Opportunities Accelerate as Does International Legalization Efforts
96,90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,PSU banks plans closure of 70 overseas offices during this fiscal
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,US Bancorp DE Acquires 577 Shares of Chemed Co. (CHE)
98,150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,Eagle Asset Management Inc. Decreases Position in PVH Corp (PVH)
99,50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,SEC to review decision rejecting bitcoin ETFs
100,20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,"'Ant-Man And The Wasp' big in China, soars past $500m worldwide"
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,Twitter tested a feature to make your timeline 'relevant' by suggesting people to unfollow
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,Air clears in some parts of B.C. while other areas socked in by smoke
103,480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,"Global Automotive Intake Manifold Market Analysis (2018 - 2023): Keihin, R chling Group, Mann+Hummel Group and Inzi"
104,50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,Video of Ohio 'Bee Man' removing hornets' nest from car goes viral (watch)
105,60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,Smoke pellets thrown at Russia's consulate in Kiev -- media - TASS
106,70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,Aberdeen New India Invest Trust PLC - Net Asset Value(s)
107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,Erzurumspor coach says Siphiwe Tshabalala set to sign Turkish deal - reports
108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,10 Things to Know for Today
109,130000,1,2,2,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0,Rental scam warning issued by Windsor police
110,360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,JetHawks Come Up Short Saturday
111,330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0,Footy Cash 24-Hour Trading Volume Tops $422.00 (XFT)
112,50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0,Summer in the City: Things to Do in New York This Weekend: Sharks in Brooklyn? You Better Believe It.
113,280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,0,"EQUITY ALERT: Rosen Law Firm Files Securities Class Action Lawsuit Against Ampio Pharmaceuticals, Inc. - AMPE"
114,100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0,"Facebook ads for gay conversion therapy 'quickly removed' after outcry, company says"
115,50000,1,2,2,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0,"Fraud Detection and Prevention Market will reach US$ 31.11 Billion by 2023 - CAGR: 16.62% - Top Key Players - SAP SE, SAS Institute, IBM, Fiserv, Experian, Dell EMC, DXC Technology"
116,30000,1,1,2,24,-1,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1,Why Trump is delaying Pompeo's NKorea trip
117,240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0,US Bancorp DE Trims Position in Grand Canyon Education Inc (LOPE)
118,80000,1,2,2,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1,Here are the loan rules that Derby County fans need to know about
119,400000,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,0,Shutdown in Kashmir Valley over Article 35A rumours
120,240000,2,2,2,38,0,0,0,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0,"The $3.91Bn Global Market for Eye Testing Equipment to 2025: Analysis by Device, Application, End-User ..."
121,50000,1,3,2,37,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,1,Granger Smith Wants to 'Learn to Slow Down' So He Can Spend Time With His Kids
122,450000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,Colony Credit Real Estate Inc (CLNC) to Issue Monthly Dividend of $0.15 on September 10th
123,110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,Motherhood With TeeWhy - Trip To Lagos.
124,310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1,Data protection complaints nearly double in three months since GDPR - regulator
125,20000,1,1,2,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,0,"On Chesil Beach: A sad, cruelly funny and absolutely beautifully staged, scored and photographed movie"
126,20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stevens Capital Management LP Purchases Shares of 43,630 CSX Co. (CSX)"
127,200000,1,3,2,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,0,In the best tradition of &#8220
128,180000,1,1,1,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,1,"Ingalls &#038; Snyder LLC Reduces Position in Ventas, Inc. (VTR)"
129,50000,1,2,1,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,1,Read Solutions and Problem-Solving Manual to Accompany Genetics: A Conceptual Approach - University Benjamin A Pierce [Ready]
130,60000,1,3,1,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,0,Hawaii shuts out Georgia 3-0 to move to LLWS title game
131,30000,2,1,2,23,1,-2,-2,-2,-1,-1,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,0,Surge in Road Accident Numbers to Push Baby Car Seat Market Globally
132,240000,1,1,2,41,1,-1,-1,0,0,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,0,Hawaii Hurricane Lane MAPPED: Live wind map shows terrifying storm heading for Hawaii
133,420000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,0,Erin Lipinsky Holds Car Wash To Raise Funds For Special Olympics
134,330000,1,3,1,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,0,"IOC eyes 52,000 fuel retail outlets in 3 years"
135,30000,2,2,2,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,0,Emmanuel Uduaghan: Has ex Delta state Gov dumped PDP for APC?
136,240000,1,2,1,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,0,IRB confirms RM16.046b unreturned tax refunds
137,150000,1,1,2,27,0,0,0,0,0,0,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,0,Premiere: Quando Rondo Drops 'Kiccin Sh*t' Video
138,210000,2,2,1,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,0,PDF The Right and Wrong Stuff: How Brilliant Careers Are Made and Unmade Full Pages
139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,1,"Centrica Invests in Leading Industrial Cyber Security Provider, Indegy"
140,50000,1,1,2,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,0,West Brom need to renew their interest in 22-year-old full-back
141,240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Thierry Coste, le lobbyiste tombeur de Hulot"
142,180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,0,"Daxor Corporation Announces a 23 Percent Rise in BVA-100 Kit Sales in the Area of Cardiology and Filing of Form N-CSR for June 30, 2018"
143,50000,1,2,2,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,0,Racism quickly become an issue in Florida governor's race
144,170000,1,2,2,29,-2,-2,-2,-2,-2,-2,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,0,Centre signs MoU with 6 states for Lakhwar Yamuna basin project
145,20000,1,1,2,29,-1,-1,-1,-1,0,-1,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,0,Keith Urban Had a Mini Big Little Lies Reunion On Stage at His Concert
146,50000,1,1,2,28,0,0,0,0,0,3,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,0,"Man says he's fugitive's twin, demands to be released"
147,170000,2,2,2,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,1,What is the real pronunciation of 'postman'?
148,200000,1,1,2,34,1,2,0,0,0,0,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,0,Rising C02 levels could cause nutritional deficiencies across the globe: Study
